TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
6400ffff,ffffffff,40182830,e0418502,5d611042,819a3028,3830a682,81121421,00000100,121c1080,62062f39,01b90226,01056122
6c00ffff,ffffffff,1c381261,03053930,90584100,88871000,d081e283,2e0414b8,5165c20e,0e0c0023,20cc040e,20b067a1,c5836922
7400ffff,ffffffff,506c29d1,67cc032c,00d832c8,85a01c64,000020c1,060e1448,d0280481,04210210,6788114a,341a0000,818e7122
7c00ffff,ffffffff,2a307271,a487040e,4420b000,ca8c000c,f811200c,82051040,90494387,14142840,c003980a,04981141,47337922
0400ffff,ffffffff,1a050874,c2899432,1439200a,862f5024,e9324340,900278e0,822f028d,2a140ab2,a1049540,5439f043,05070122
0c00ffff,ffffffff,2a1df000,61831212,a8b87108,05021068,98018747,84040800,53a602ba,300c5c54,01048a04,5c38a060,03000922
1400ffff,ffffffff,08080931,0840832e,28614040,c583284c,885460c3,94162828,e12e8691,181cf050,c14eb408,200845e4,420d1122
1c00ffff,ffffffff,01543260,40438312,11293240,06826034,6030494d,26021422,e0410888,54508072,60409614,00103069,c2011922
2400ffff,ffffffff,042c10a1,e4c28414,14224000,090206ac,1920e819,0a222840,c0a0818b,12147000,21c6071e,2c10c02c,00062122
2c00ffff,ffffffff,1c041800,01428a10,88500161,c3083024,4b516101,000c5c81,92610a83,5a740823,c0000006,c44850e9,8f062922
3400ffff,ffffffff,10405300,a0009736,01482282,05850e39,101065c3,822c0458,32654d01,5e1010d0,25531622,20088341,06243122
3c00ffff,ffffffff,20e04090,e2438228,0061d820,c4901260,e8806449,4b18081a,f2224085,280cd060,2204913c,1848e083,85873922
4400ffff,ffffffff,0c5c3901,a006910e,3030e200,462e021c,6b21c2c5,83281479,50888006,1ae8f010,26448708,283022c5,4d8e4122
4c00ffff,ffffffff,001c5801,200a061e,344131e1,0488023c,a8f36540,0c081830,e301c289,1c104950,43c48102,31608161,408d4922
5400ffff,ffffffff,4619c1b0,95058940,ac01c0e0,c10606b5,308344c4,a91a08b0,1060c289,000c4870,40499b08,5cf9c021,033b5122
5c00ffff,ffffffff,2228c000,01028202,04a071e4,46181e21,701122c8,91320804,820532a3,08400127,a3059312,60488280,44885922
6400ffff,ffffffff,10587813,e5402218,042050c2,050c1444,50114044,81147000,e26098be,384c0922,e2009404,3868a5e0,83a66122
6c00ffff,ffffffff,08681980,c8188304,48002262,83ac164c,a030c042,84063898,01054583,54f81111,c4c0aa4a,60b8400a,4f196922
7400ffff,ffffffff,24c8b0c1,22cca018,2c7881a5,018b0004,90902002,c5060058,e0040017,28208080,60839316,0c352183,c1817122
7c00ffff,ffffffff,106060a1,81198332,50786100,478e1808,00a2a14e,890e2838,01ebc80b,00156804,2609190c,849021e0,ca087922
0400ffff,ffffffff,16083811,41440000,4ab8005f,da800410,59a00882,0b285458,730540a8,1634d0a0,6151bd22,0140a281,84900122
