TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
2c00ffff,ffffffff,0a3d5860,038a0716,21108004,8c0c8c18,69c00242,0a045001,412ac90f,04243180,61c23514,0181a2a3,c8852922
3400ffff,ffffffff,4c084150,01d10206,982080a0,d0226074,61b35982,020e8028,b000051b,1e056090,e841b718,a1282049,003e3122
3c00ffff,ffffffff,10100811,c191060a,4901a042,44023e38,9030a009,a8040910,f0ab0459,20344060,62412880,1c316240,ca833922
4400ffff,ffffffff,000801d1,81000a08,081a1381,8f860a48,101084cd,87040010,41238085,12d848f0,04cc873c,14509100,91304122
4c00ffff,ffffffff,06443110,00068302,4028e540,01274008,28830244,071ec831,43200b1f,34145090,a1619632,081a7320,ca134922
5400ffff,ffffffff,3c98f994,42412400,2cb0b0a3,8c8e1414,10848100,060a0800,31610690,3ca02081,ea811404,901821a2,801a5122
5c00ffff,ffffffff,220430b0,0205c216,1410810a,820d2444,38316040,8c10c070,6202008d,14308011,68d60300,08e97324,c3875922
6400ffff,ffffffff,02205881,8303051c,84801402,cd050210,1091a0c6,89022cc0,7aa189a8,088590c1,6381970e,1808f467,45936122
6c00ffff,ffffffff,062410f3,80d21518,194b4340,81828000,78d2c003,84022428,40608028,28001233,0102253c,148821c1,81806922
7400ffff,ffffffff,0020d071,20840b26,18800107,919e1e08,70914062,be0a1031,104082aa,020500f0,e4899404,94385042,83897122
7c00ffff,ffffffff,004008f1,43850610,1008a2c8,80900601,a1108049,08282829,53224802,361889d2,644a8a18,a038e003,4e1e7922
0400ffff,ffffffff,167c2894,2b430120,04a07020,8416149c,00a188d5,88080178,02219784,20149961,02418244,983893a4,84800122
0c00ffff,ffffffff,0e08a0d1,c0068428,0c682108,819b3c00,181200c0,98260078,30220426,12006831,e0000804,b8490024,d1160922
1400ffff,ffffffff,00984035,c18e0030,0401f163,47860650,7830ca80,8c181c18,44a79312,28605120,a4d68126,1411a247,4d001122
1c00ffff,ffffffff,0244c2f0,434eb706,4878d149,d289142c,51a08046,3d066409,51e50a81,1a38f220,2a408502,10305157,823a1922
2400ffff,ffffffff,024c5001,84478896,84487362,89015218,1850e441,00336038,60424902,1a383883,a2810104,a00802a8,c0132122
2c00ffff,ffffffff,0c213910,8043000e,cc083002,82030034,c0f189c5,07021c7c,a3e3110e,14080942,22c4240a,0008c044,81032922
3400ffff,ffffffff,105418a0,24050302,2c63102b,418f0e34,0801a9c0,18041488,2320d490,000c7861,0256203a,24901186,018e3122
3c00ffff,ffffffff,00103880,21872206,224af6a9,82931a0c,39704581,15023040,30a19706,18002142,c0008912,104030c1,c52e3922
