TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
4c00ffff,ffffffff,002400f0,00c08a1c,10207342,c720120d,2990c000,973e7841,10030a8b,1a5d8106,e2c78400,44a2a0a4,cda24922
5400ffff,ffffffff,70141953,60c08216,1828e300,4d070254,0330e0c2,001820b9,92a80300,2c1469f2,c1c2a230,307ad1a0,441e5122
5c00ffff,ffffffff,600c8880,07010502,1cc80082,53043c1c,58f0e043,80782020,c4a5c782,0818a882,c380a202,6c18208e,c0025922
6400ffff,ffffffff,50082890,20928712,44280047,52174625,b8f3c147,810a1000,24808388,2a502030,a158891a,a4e0c0c1,48146122
6c00ffff,ffffffff,4c2c9210,60840014,18715565,c9841e38,00206682,2d101098,32a1c00d,1e1cf0c0,e2818d40,e5481241,05816922
7400ffff,ffffffff,0a400140,29c8000a,14400121,4807022c,00706184,051a0080,40e5c321,2a1cd800,22001864,54380043,42017122
7c00ffff,ffffffff,2214a2a0,8302892a,1858552d,090f0e20,89348002,0810dca0,20e04d92,166848a1,82430b18,8c4070a1,00847922
0400ffff,ffffffff,081478e2,0383892c,30180141,881e0630,b8106801,000c18bb,10274181,02603810,ca040958,21a8b0c2,02340122
0c00ffff,ffffffff,02004182,02438d00,3c12b0e3,0b090631,6031e540,12144d20,1101ca85,1a10e022,214a8633,00d882a1,06070922
1400ffff,ffffffff,26004128,a10c860e,203071e4,0e1c1208,29624c9c,4d1a1410,60e88885,2e04b840,c04a0220,0cd07063,42071122
1c00ffff,ffffffff,10185840,40450512,0411f101,1083241c,08808186,0d023050,b022068a,062c6900,2a0401a2,30d856c2,85b31922
2400ffff,ffffffff,5e707b52,21058206,29483004,86812834,5024c505,890614b0,02614e06,36bc38c4,62419008,281934e5,02062122
2c00ffff,ffffffff,0a2860b1,41060b00,1428b020,4b0e1278,4934a0c2,0a220060,6024918a,2e183081,c3010028,9869004a,c0542922
3400ffff,ffffffff,12903015,a146811a,602840c0,c3000628,43b3a288,18321510,30220f1b,1a1c3060,26c29614,28102346,44223122
3c00ffff,ffffffff,886a00a0,80c31320,682a1280,49910816,8010a10a,0b1cb419,7088cd0b,003428d4,e648020a,5c2070e5,07813922
4400ffff,ffffffff,1a2c0991,02829308,14910023,84831a04,3944a346,860668e8,4882c082,6a2c6970,24860322,9404d100,86874122
4c00ffff,ffffffff,00702030,c4491214,5c005087,52970a20,1012a242,211c4078,01604107,1c00f890,4046150c,3860b561,4b004922
5400ffff,ffffffff,12b42870,a058020a,3c5be2c3,82890c70,18136281,bf303460,a363838a,08306002,02402680,0020e222,89825122
5c00ffff,ffffffff,3264b401,23061354,305891a3,810a0810,38100442,990404c0,030c4508,1ac40810,84028122,20a8150b,468d5922
6400ffff,ffffffff,12382b02,548d0804,2c5891a2,80132a60,92e18e08,0a0a0c0a,0221ca01,14403070,4101090a,3ca96100,42806122
6c00ffff,ffffffff,161c1081,01d08954,0050e241,c7110e90,a065e157,8a001888,6061406d,10f80814,61849208,14891140,92096922
7400ffff,ffffffff,183548c0,0346812c,b8d9e089,cd850402,707060c3,23298029,4164d401,444c5a30,600b085a,2039d340,08057122
7c00ffff,ffffffff,00286070,0482800a,3c20a140,c50b2618,28314108,14144010,4061c481,0e5028a1,228da520,40500440,06097922
0400ffff,ffffffff,061ca811,a586980c,1c60f228,82010cd4,10248354,4426d0a1,23008e82,28296050,85898112,50001440,c08f0122
0c00ffff,ffffffff,221c9011,01840b28,20b8d124,850e0094,81d0600e,a3046908,c0250280,225c60a2,20c40230,45d01100,00020922
1400ffff,ffffffff,04380092,c1428e0a,1d3a40e3,432d4604,e941a095,88026842,8004cf12,2e045ae2,e0aa810a,30184343,d3091122
1c00ffff,ffffffff,3a2c0000,24408700,24385164,930b163c,59446103,060e68b0,01b1c798,2e599a01,83008244,24000041,cf831922
2400ffff,ffffffff,4e3c1168,23c60f04,40080583,80812e3c,78a0e0c7,984e0008,e0428992,004c4b51,04840302,144060c3,068b2122
2c00ffff,ffffffff,0050e870,61440b28,31c00221,c3810870,11004400,901e3248,7164c588,0a0c1882,44c20642,3c305380,57862922
3400ffff,ffffffff,1c2c01a1,22039a00,581921ab,0698040c,69f1a30d,922e1018,11c3479e,1c295031,40420a3e,2110b881,0a003122
3c00ffff,ffffffff,102c1071,4107120a,0c019122,5011186c,78e0e0c7,0404803a,5160ce0a,0648d140,a38e9b30,8808c0a4,00013922
4400ffff,ffffffff,0e1018f8,e0d20124,8cd86821,43002e28,7850c2cd,00025428,b1c14202,3a400002,8040a508,5531f2a2,42a24122
4c00ffff,ffffffff,3ad06811,2007091c,10a1b141,c3299438,49d2a309,84103060,44c0ce00,2a0831b1,e141b52a,54321001,ca0d4922
5400ffff,ffffffff,20042812,61408548,c938a0ac,c28d4438,591000c3,1b162880,0260c310,30852040,06830806,182800c7,48095122
5c00ffff,ffffffff,54447061,62c01866,24305181,00260a08,19c4e000,ac2c1409,01e00685,027159b2,e308146a,48a041c0,02835922
6400ffff,ffffffff,00042040,20498f40,74884241,41071434,18910588,842c1c70,00c10112,06293af0,2702841a,6448328d,c3056122
6c00ffff,ffffffff,267ca0f1,a9858308,202812c4,c4820270,2051c509,9f32509a,60224981,3e5458b1,21d0821a,2cd02021,80076922
7400ffff,ffffffff,2e1028c0,02d99a08,00beb044,918e1234,00000780,902a4c79,83400916,125c1031,6a0b0440,11705380,45057122
7c00ffff,ffffffff,0814a111,61842412,5c0810f1,42050eb0,22d0028e,89080839,f0e4488a,08306370,40861010,d470c0ab,96027922
0400ffff,ffffffff,0c385029,c3c49b0c,1cf8f020,0c18780c,0063a103,9a9024b0,d240c19d,020088f1,26c6820c,1dcaf007,c8960122
0c00ffff,ffffffff,1e256890,20902e30,08107143,489c1c00,0850cb40,8500a800,f2462808,20113060,e2c0b538,14193148,c4b00922
1400ffff,ffffffff,18487411,85009316,04083062,c50b0618,3823a64c,00022430,30a0410c,043038d0,c4048508,24181084,849a1122
1c00ffff,ffffffff,04003091,65050130,0088b3a0,c8082620,c0703e40,820a1061,74e14312,24182231,a040bc02,2d381004,81931922
2400ffff,ffffffff,3818a851,60de852c,2d383725,430d0290,5810c6ca,2f280071,43014509,0e40f9b0,82c01208,68890427,46022122
2c00ffff,ffffffff,08344864,a1448b02,c872a060,0c0e008c,293201c7,81165019,f5218c00,021c9053,25810502,18308580,43002922
3400ffff,ffffffff,2e040910,61cda712,11091022,471a0a48,d180a7c8,800c4868,a4c201a1,0e3c5b10,48478b0a,101810e0,cc903122
3c00ffff,ffffffff,2a0179e2,a3019d16,14085401,430d3064,29804284,85027418,3060c917,2a185871,80848d72,18102010,43083922
4400ffff,ffffffff,145d39a4,23818b08,0828c0e4,ceae0a25,78310206,88022421,8060830b,22581a03,00028800,08204142,09074122
4c00ffff,ffffffff,103c6012,23469b38,2808142a,47086504,e110c3e0,82180839,5121c392,40345006,c4829202,9441d225,c80d4922
5400ffff,ffffffff,389a7957,0147111e,086172c0,00211604,8860e609,16001408,c121810d,07182043,8089800e,08294040,03045122
5c00ffff,ffffffff,0a810153,6002030e,20017020,061c040c,90c0e213,82040801,20e60301,4614e0e1,2341011e,3c5037c0,8b9d5922
6400ffff,ffffffff,3a186932,8246114a,0028e385,480b0448,9a5203d6,082c4808,13208181,2404a850,220ea138,bcb22362,86076122
6c00ffff,ffffffff,164c4830,62021a06,5898d247,43a81a18,485400d0,0d106418,d6c0daaa,a0508883,0080852c,2820c6a1,88896922
7400ffff,ffffffff,0a0c1871,4240821c,1cc06040,09230e10,20b1a2c4,80005091,1180020f,002419d1,45890360,6801f301,818c7122
7c00ffff,ffffffff,0a1ce892,26812a00,74b80063,c7970ea1,c2006189,0d004808,f1210783,002ca910,e28a080c,1c6881f0,0c827922
0400ffff,ffffffff,4a96e911,21108506,28384285,ca880420,0900a1ce,010429a9,f2e84087,1a1430a3,a0829930,31606042,42a20122
0c00ffff,ffffffff,02106831,6080810a,d440b364,4b877628,7991e243,0e04f3e8,30288306,005c8060,2b880302,941061a0,89c70922
1400ffff,ffffffff,0c0010f0,a405090c,105031a0,c4830220,08c20009,ab143851,8047878c,30000812,43848202,1c0071a2,95841122
1c00ffff,ffffffff,00349091,a94d121a,0998e440,8988b458,8851c042,010e1000,71e20205,0cb8a922,a0cb0510,a0011042,088e1922
2400ffff,ffffffff,1c301871,04041236,00288325,0d0e221d,4070cb01,010054d0,a1040016,0218c033,62068322,1858c201,8d8f2122
2c00ffff,ffffffff,120160f4,60040d04,34882002,84145e20,48900500,130a6830,80020391,1c1c3033,24848332,486810e0,c13d2922
3400ffff,ffffffff,222c6821,418a8902,2821e0e2,97010078,08e040cd,0224d438,b2038c99,38107801,63820202,a4398282,40053122
3c00ffff,ffffffff,08700070,69850e06,384021c2,c1801204,0890620b,84120c98,50600123,58049831,c5c12502,1c788362,01173922
4400ffff,ffffffff,0e343001,83d1810e,483832e9,c3003c01,10e12200,a82a3428,e2c2c685,00143810,8182160c,2029b2e1,02264122
4c00ffff,ffffffff,16101896,a6449404,10ea2267,cb032804,c0056783,880a0048,8000c2b5,10dc1230,20062920,4850f186,0a894922
5400ffff,ffffffff,12306040,46419518,10293244,40831234,5000a0d0,8a265820,00c34021,00584820,0fc88040,1801a083,c9015122
5c00ffff,ffffffff,36245873,e2440e30,40414024,81003acc,58604146,86284cf0,42e001bf,143cd051,670d8304,7c0916a0,4e005922
6400ffff,ffffffff,0e10b061,8081850a,d8892340,861e006c,68102082,00421c40,0385489d,360c2806,44020c12,0821a167,4b806122
6c00ffff,ffffffff,084438e1,29479f1a,281010a5,0987462c,1090e546,01021490,01a40906,04180837,62420d02,0458c167,80846922
7400ffff,ffffffff,22149021,c084040a,c8d11183,03014820,b8504083,0a2c2970,13221182,04189940,28c38a00,88f020c4,c20e7122
7c00ffff,ffffffff,0c100ca0,81a38e0e,051031f2,06040015,20340180,09001820,50c04085,1e24b011,20860f1c,240a0005,4c057922
0400ffff,ffffffff,0e905a70,21969804,30c85040,81860800,78100d51,c7121c40,50e1819b,2a183220,c0851a0a,0840f0e3,44910122
0c00ffff,ffffffff,12048022,0343310a,ec0170a2,41892830,5830c8cb,90120009,30c00082,14716870,a300082c,04420005,84050922
1400ffff,ffffffff,445c2070,62c02414,245830ed,808a2804,81f06604,130c10c9,50840e84,8e248141,c4460708,184a21c0,80241122
1c00ffff,ffffffff,133d4840,a6cb8070,00582a23,058b0818,70912a82,00204888,214b1d0a,14206042,200c9190,182930c0,d1951922
2400ffff,ffffffff,103c4000,a3418028,10982008,c0012048,3aa0c040,9a322c18,16cc830c,08209a50,a3c38e40,c4105303,02082122
2c00ffff,ffffffff,06581012,c1a8b902,64585120,0e940410,20190e80,0b246648,a0210989,5e60a930,44418520,5c78f064,49072922
3400ffff,ffffffff,06280983,25461e14,6c09a048,80403200,12600101,8b1c7060,30244d88,000c9093,82011312,7441a161,c0933122
