05-26-22 03:26:55 INFO   Starting
05-26-22 03:27:08 INFO   Configuring stream compare
05-26-22 03:27:10 INFO   Stop continous acquire for lc-input
05-26-22 03:27:10 INFO   Stop continous acquire for lc-ASIC
05-26-22 03:27:10 INFO   Stop continous acquire for lc-emulator
05-26-22 03:27:10 INFO   Configure continous acquire
05-26-22 03:27:10 INFO   Starting stream compare (CTRL-C to stop and do capture and I2C compare)
05-26-22 03:27:10 INFO   Stream compare, word count 18516, error count 0
05-26-22 03:27:11 INFO   Stream compare, word count 40103474, error count 0
05-26-22 03:27:12 INFO   Stream compare, word count 80188102, error count 0
05-26-22 03:27:13 INFO   Stream compare, word count 120274134, error count 0
05-26-22 03:27:14 INFO   Stream compare, word count 160360393, error count 0
05-26-22 03:27:15 INFO   Stream compare, word count 200445093, error count 0
05-26-22 03:27:16 INFO   Stream compare, word count 240530925, error count 0
05-26-22 03:27:17 INFO   Stream compare, word count 280621827, error count 0
05-26-22 03:27:18 INFO   Stream compare, word count 320712018, error count 0
05-26-22 03:27:19 INFO   Stream compare, word count 360797433, error count 0
05-26-22 03:27:20 INFO   Stream compare, word count 400881630, error count 0
05-26-22 03:27:21 INFO   Stream compare, word count 440968986, error count 0
05-26-22 03:27:22 INFO   Stream compare, word count 481057061, error count 0
05-26-22 03:27:23 INFO   Stream compare, word count 521147617, error count 0
05-26-22 03:27:24 INFO   Stream compare, word count 561232994, error count 0
05-26-22 03:27:25 INFO   Stream compare, word count 601317695, error count 0
05-26-22 03:27:26 INFO   Stream compare, word count 641410456, error count 0
05-26-22 03:27:27 INFO   Stream compare, word count 681497435, error count 0
05-26-22 03:27:28 INFO   Stream compare, word count 721590047, error count 0
05-26-22 03:27:29 INFO   Stream compare, word count 761677823, error count 0
05-26-22 03:27:30 INFO   Stream compare, word count 801764345, error count 2
05-26-22 03:27:31 INFO   Stream compare, word count 841851224, error count 2
05-26-22 03:27:32 INFO   Stream compare, word count 881935823, error count 2
05-26-22 03:27:33 INFO   Stream compare, word count 922022159, error count 2
05-26-22 03:27:34 INFO   Stream compare, word count 962109387, error count 2
05-26-22 03:27:35 INFO   Stream compare, word count 1002198119, error count 2
05-26-22 03:27:36 INFO   Stream compare, word count 1042282296, error count 2
05-26-22 03:27:37 INFO   Stream compare, word count 1082370277, error count 3
05-26-22 03:27:38 INFO   Stream compare, word count 1122461265, error count 3
05-26-22 03:27:39 INFO   Stream compare, word count 1162546565, error count 3
05-26-22 03:27:40 INFO   Stream compare, word count 1202632204, error count 4
05-26-22 03:27:41 INFO   Stream compare, word count 1242724592, error count 4
05-26-22 03:27:42 INFO   Stream compare, word count 1282811479, error count 4
05-26-22 03:27:43 INFO   Stream compare, word count 1322895807, error count 5
05-26-22 03:27:45 INFO   Stream compare, word count 1362980179, error count 5
05-26-22 03:27:46 INFO   Stream compare, word count 1403064662, error count 5
05-26-22 03:27:47 INFO   Stream compare, word count 1443153661, error count 5
05-26-22 03:27:48 INFO   Stream compare, word count 1483246931, error count 5
05-26-22 03:27:49 INFO   Stream compare, word count 1523333975, error count 5
05-26-22 03:27:50 INFO   Stream compare, word count 1563417985, error count 5
05-26-22 03:27:51 INFO   Stream compare, word count 1603505085, error count 5
05-26-22 03:27:52 INFO   Stream compare, word count 1643592115, error count 5
05-26-22 03:27:53 INFO   Stream compare, word count 1683678043, error count 5
05-26-22 03:27:54 INFO   Stream compare, word count 1723765721, error count 5
05-26-22 03:27:55 INFO   Stream compare, word count 1763850836, error count 5
05-26-22 03:27:56 INFO   Stream compare, word count 1803934818, error count 5
05-26-22 03:27:57 INFO   Stream compare, word count 1844022583, error count 5
05-26-22 03:27:58 INFO   Stream compare, word count 1884112765, error count 5
05-26-22 03:27:59 INFO   Stream compare, word count 1924388704, error count 6
05-26-22 03:28:00 INFO   Stream compare, word count 1964474884, error count 6
05-26-22 03:28:01 INFO   Stream compare, word count 2004552490, error count 6
05-26-22 03:28:02 INFO   Stream compare, word count 2044639710, error count 6
05-26-22 03:28:03 INFO   Stream compare, word count 2084725536, error count 6
05-26-22 03:28:04 INFO   Stream compare, word count 2124811366, error count 7
05-26-22 03:28:05 INFO   Stream compare, word count 2164873295, error count 7
05-26-22 03:28:06 INFO   Stream compare, word count 2204957602, error count 7
05-26-22 03:28:07 INFO   Stream compare, word count 2245044247, error count 7
05-26-22 03:28:08 INFO   Stream compare, word count 2285133883, error count 7
05-26-22 03:28:09 INFO   Stream compare, word count 2325219331, error count 7
05-26-22 03:28:10 INFO   Stream compare, word count 2365305597, error count 8
05-26-22 03:28:11 INFO   Stream compare, word count 2405393644, error count 8
05-26-22 03:28:12 INFO   Stream compare, word count 2445480391, error count 8
05-26-22 03:28:13 INFO   Stream compare, word count 2485565586, error count 8
05-26-22 03:28:14 INFO   Stream compare, word count 2525652866, error count 8
05-26-22 03:28:15 INFO   Stream compare, word count 2565738488, error count 8
05-26-22 03:28:16 INFO   Stream compare, word count 2605824437, error count 8
05-26-22 03:28:17 INFO   Stream compare, word count 2645916644, error count 8
05-26-22 03:28:18 INFO   Stream compare, word count 2686008132, error count 8
05-26-22 03:28:19 INFO   Stream compare, word count 2726093531, error count 8
05-26-22 03:28:20 INFO   Stream compare, word count 2766155767, error count 8
05-26-22 03:28:21 INFO   Stream compare, word count 2806240395, error count 8
05-26-22 03:28:22 INFO   Stream compare, word count 2846330436, error count 9
05-26-22 03:28:23 INFO   Stream compare, word count 2886423980, error count 9
05-26-22 03:28:24 INFO   Stream compare, word count 2926476421, error count 9
05-26-22 03:28:25 INFO   Stream compare, word count 2966561447, error count 9
05-26-22 03:28:26 INFO   Stream compare, word count 3006637137, error count 9
05-26-22 03:28:27 INFO   Stream compare, word count 3046724575, error count 9
05-26-22 03:28:28 INFO   Stream compare, word count 3086815938, error count 9
05-26-22 03:28:29 INFO   Stream compare, word count 3126903725, error count 9
05-26-22 03:28:30 INFO   Stream compare, word count 3166988602, error count 9
05-26-22 03:28:31 INFO   Stream compare, word count 3207073744, error count 9
05-26-22 03:28:32 INFO   Stream compare, word count 3247161012, error count 9
05-26-22 03:28:33 INFO   Stream compare, word count 3287245357, error count 9
05-26-22 03:28:34 INFO   Stream compare, word count 3327331867, error count 9
05-26-22 03:28:35 INFO   Stream compare, word count 3367420147, error count 9
05-26-22 03:28:36 INFO   Stream compare, word count 3407505439, error count 9
05-26-22 03:28:37 INFO   Stream compare, word count 3447591589, error count 9
05-26-22 03:28:38 INFO   Stream compare, word count 3487682593, error count 10
05-26-22 03:28:39 INFO   Stream compare, word count 3527768431, error count 10
05-26-22 03:28:40 INFO   Stream compare, word count 3567854327, error count 10
05-26-22 03:28:41 INFO   Stream compare, word count 3607941635, error count 10
05-26-22 03:28:42 INFO   Stream compare, word count 3648028900, error count 10
05-26-22 03:28:43 INFO   Stream compare, word count 3688114490, error count 10
05-26-22 03:28:44 INFO   Stream compare, word count 3728198839, error count 10
05-26-22 03:28:45 INFO   Stream compare, word count 3768283405, error count 10
05-26-22 03:28:46 INFO   Stream compare, word count 3808369294, error count 10
05-26-22 03:28:47 INFO   Stream compare, word count 3848460182, error count 10
05-26-22 03:28:48 INFO   Stream compare, word count 3888550144, error count 10
05-26-22 03:28:49 INFO   Stream compare, word count 3928638349, error count 10
05-26-22 03:28:50 INFO   Stream compare, word count 3968722843, error count 11
05-26-22 03:28:51 INFO   Stream compare, word count 4008810013, error count 12
05-26-22 03:28:52 INFO   Stream compare, word count 4048898460, error count 12
05-26-22 03:28:53 INFO   Stream compare, word count 4088985449, error count 12
05-26-22 03:28:54 INFO   Stream compare, word count 4129070677, error count 12
05-26-22 03:28:55 INFO   Stream compare, word count 4169155579, error count 12
05-26-22 03:28:56 INFO   Stream compare, word count 4209200948, error count 12
05-26-22 03:28:57 INFO   Stream compare, word count 4249287790, error count 12
05-26-22 03:28:58 INFO   Stream compare, word count 4289381278, error count 12
05-26-22 03:28:59 INFO   Stream compare, word count 34505378, error count 12
05-26-22 03:29:00 INFO   Stream compare, word count 74590573, error count 12
05-26-22 03:29:01 INFO   Stream compare, word count 114675038, error count 12
05-26-22 03:29:02 INFO   Stream compare, word count 154765478, error count 12
05-26-22 03:29:03 INFO   Stream compare, word count 194850631, error count 12
05-26-22 03:29:04 INFO   Stream compare, word count 234937572, error count 12
05-26-22 03:29:05 INFO   Stream compare, word count 275024705, error count 12
05-26-22 03:29:06 INFO   Stream compare, word count 315110476, error count 12
05-26-22 03:29:07 INFO   Stream compare, word count 355197445, error count 12
05-26-22 03:29:08 INFO   Stream compare, word count 395289225, error count 12
05-26-22 03:29:09 INFO   Stream compare, word count 435378290, error count 12
05-26-22 03:29:10 INFO   Stream compare, word count 475466571, error count 12
05-26-22 03:29:11 INFO   Stream compare, word count 515554161, error count 12
05-26-22 03:29:12 INFO   Stream compare, word count 555641149, error count 12
05-26-22 03:29:13 INFO   Stream compare, word count 595726178, error count 12
05-26-22 03:29:14 INFO   Stream compare, word count 635810481, error count 12
05-26-22 03:29:15 INFO   Stream compare, word count 675896960, error count 12
05-26-22 03:29:16 INFO   Stream compare, word count 715982460, error count 12
05-26-22 03:29:17 INFO   Stream compare, word count 756073098, error count 12
05-26-22 03:29:18 INFO   Stream compare, word count 796157597, error count 12
05-26-22 03:29:19 INFO   Stream compare, word count 836245750, error count 12
05-26-22 03:29:20 INFO   Stream compare, word count 876333140, error count 12
05-26-22 03:29:21 INFO   Stream compare, word count 916417777, error count 12
05-26-22 03:29:22 INFO   Stream compare, word count 956506955, error count 12
05-26-22 03:29:23 INFO   Stream compare, word count 996596478, error count 12
05-26-22 03:29:24 INFO   Stream compare, word count 1036686920, error count 12
05-26-22 03:29:25 INFO   Stream compare, word count 1076774476, error count 12
05-26-22 03:29:26 INFO   Stopping
05-26-22 03:29:26 INFO   Stream compare, word count 1115137194, error count 12
05-26-22 03:29:41 INFO   RO Matches
05-26-22 03:29:41 ERROR  RW Mismatches: {'AUTOENCODER_11INPUT': {'weights_byte128': ('0x0', '0x8000')}}
