TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
7400ffff,ffffffff,260c3021,e8432508,7c8872c4,49854e2c,39b4ad91,9c061801,91e24082,401840b0,4505204a,940140e3,82077122
7c00ffff,ffffffff,045c6804,40c40f20,7478b0a0,4182461c,4085a050,2d124ce9,7026c1ac,1640e013,6342032a,18a83000,83807922
0400ffff,ffffffff,1019e834,00c02b08,04324081,88102010,782042d2,ab1210c0,0561c8a0,00281040,6613820c,0d0a90c6,08830122
0c00ffff,ffffffff,023c0050,c0840720,1c20600a,10211e00,6192078a,022c1080,3140ca8b,1c2012b2,61c1a744,fcb81148,80020922
1400ffff,ffffffff,02086051,c0530a08,343172e4,553800d8,50002000,0a087848,1023801e,32002911,82f68c10,78600100,4a841122
1c00ffff,ffffffff,02b8d047,6202100c,0c207002,03060230,70724200,00340038,31c00304,22a120d1,2151171e,847061e4,07861922
2400ffff,ffffffff,1020e934,c3ca0328,34b823e0,12030c04,084163c4,02121c51,55e58207,121ca9b1,04c7001a,de019123,9f072122
2c00ffff,ffffffff,02442923,a01bc70c,0000e1a1,4134220c,00a00282,8c2048b0,62a24310,28148090,a3829d10,3088a021,c6822922
3400ffff,ffffffff,1834d820,20c18704,0c1b428a,49830c10,09902341,804628f0,304182a5,1c0070e0,68a0824a,00228125,8c193122
3c00ffff,ffffffff,08305b81,02880318,24b0f644,c7110004,a9002050,31089928,d0c4c608,04101125,6300821e,24c4b060,82843922
4400ffff,ffffffff,021c4054,48c30610,34603162,41030630,c9118693,a60a1420,3270c800,34540815,a2418108,04e05188,4c914122
4c00ffff,ffffffff,0470b882,e0838217,20b0a388,c0001208,2840044a,8b022c0a,a1a20892,22901020,00c20136,084010a1,84124922
5400ffff,ffffffff,14200b70,61039316,04493145,0e0e8c30,49e00602,0b141808,82a0090c,2ab8a801,e0408f06,1461c242,81065122
5c00ffff,ffffffff,00343900,e0d28e0a,512841e7,08080880,2057a0c1,891608b0,a1604032,1a20d071,42440356,5cb04080,0e075922
6400ffff,ffffffff,0228b010,c3490910,0808f162,c5110700,98802044,ac0e0008,81c0880c,10044032,24c00322,481051ab,08066122
6c00ffff,ffffffff,142120a9,c7830260,1000e162,078f1080,10506200,09002418,10014382,303c1030,21c0a626,2802b108,00ae6922
7400ffff,ffffffff,46601810,21080822,18095041,19810208,7811e6ca,8e22001a,9180c081,06200930,070a9014,e503a021,030f7122
7c00ffff,ffffffff,500a3070,22448062,00b851e4,018d0008,48f0ac0e,800420a0,70034123,3e181066,a0cb8b36,1000b1a1,40117922
0400ffff,ffffffff,04409802,60430070,44b4e420,c61f0404,f340c3ca,8f466021,73200286,0c0c2a30,01840a0c,08c8b2c3,97840122
0c00ffff,ffffffff,382c1113,02408044,05b1e300,03951920,2050c043,061a00aa,22801303,4408e8a2,60838302,08501081,47860922
1400ffff,ffffffff,0460d150,e00b0318,94000041,81196a7c,0820e000,8818d820,10200183,10243830,0201900e,28691506,85041122
1c00ffff,ffffffff,2820a1b6,c605840a,54301061,c1040a38,40818046,b90c0171,61878086,027c0820,a0438500,8c404060,d6841922
2400ffff,ffffffff,10007190,41d20e18,00890000,0002006c,8030a30c,252a046a,6021401d,10281363,42420e02,01294304,4f112122
2c00ffff,ffffffff,0a6d1863,264b8e22,b11d60c8,0000102c,600247c4,8b3e24f0,46c2c38b,0c242874,22458304,08a0c0c6,00852922
3400ffff,ffffffff,20000070,0486b312,5430f080,049c0a01,81018243,8d341530,8008c285,2a781813,65830004,5c488001,048a3122
3c00ffff,ffffffff,1d5030b2,460aa002,0c309345,810e0e18,f85260c9,901e1080,e54566bd,04140076,e203840c,1c482180,00083922
4400ffff,ffffffff,222c2020,e440051e,6c8844c2,cb0108b0,2a018486,0b0a40c8,70245d87,2a290030,42313006,0cf09043,408d4122
4c00ffff,ffffffff,24403820,c0e60f30,2c18c882,81111e85,d81002c2,8a228429,23060081,005d90c0,81118606,0c30c060,40804922
5400ffff,ffffffff,44790050,21070714,58614209,42021200,78f0a10a,a600d4a8,c0a4c28a,2e2c70d0,2cc28e1a,1cb11062,000f5122
5c00ffff,ffffffff,045411d7,c101001e,10194303,4100025c,08302089,05060c33,6388428e,021c71c4,c0421108,1480b14c,86085922
6400ffff,ffffffff,2e1409dc,a3061418,041891e1,82850214,3892e20a,040e5058,e2c04200,0c3c8064,41010820,0c08a0e1,ca9c6122
6c00ffff,ffffffff,2349b0b0,22458422,0c386004,d094145c,40e06184,87225019,f0668417,00041080,20820356,18183044,028f6922
7400ffff,ffffffff,0600d9a0,e1468e36,20891000,4284042c,08f54280,013f1068,31278203,0c04b241,8f848130,18215041,44037122
7c00ffff,ffffffff,0a04e132,a0810724,5cb0e2a0,031b0200,c9a20208,8d182180,4042480d,263868a2,e0820838,10c01041,44867922
0400ffff,ffffffff,100819e1,40c52b0c,50cc7440,c48d00e0,30b0018a,88062428,65209f88,0064a800,a5ca9902,2c295000,40110122
0c00ffff,ffffffff,1c3481a0,20830400,09f09083,01092210,28000083,071c5149,47c44a04,040408b1,08c28b02,20d04448,c7260922
1400ffff,ffffffff,40781900,80439856,54f15509,54860208,d8004b00,98168008,002f0e83,40841950,60818706,006893ea,cb941122
1c00ffff,ffffffff,48084830,41c18a26,182102c9,c005046c,10002196,8b0600d0,82e00aac,08142052,2dd08d44,680203a1,00231922
2400ffff,ffffffff,083898f4,c08a892e,24003028,0e094c00,78816242,831010a8,41090001,1e246194,82800d0e,18196180,008e2122
2c00ffff,ffffffff,1e786861,e4c70026,28015163,429d1680,62320080,840809e8,e0200010,08acc060,e544a118,30e18381,80072922
3400ffff,ffffffff,02402130,e58e8574,00db63a8,05041c48,48058199,89123c31,d1218189,021c2033,a1888316,891ac32c,888d3122
3c00ffff,ffffffff,1c9819b2,25888372,45983088,c9861034,1930274c,01120c28,71028208,0224a0f3,01078c50,00784080,c4833922
4400ffff,ffffffff,22095052,02430200,68083367,08860e48,a911c243,9e8a5041,e2094700,1478c892,6040a438,0008c2a6,49074122
4c00ffff,ffffffff,3a087812,ab061756,746850c0,09011800,31b0e34b,0b10641b,a0e240a0,06501813,0149845c,0020f0c4,02814922
5400ffff,ffffffff,02044070,22450206,08291080,c4836034,b9730281,86200851,03618023,26286033,4d0b020c,486031c6,c2925122
5c00ffff,ffffffff,029188a0,e00d1300,24324125,c1142024,4861404a,05390010,23cb020b,020c5840,e5570602,2dd1d4a0,00045922
6400ffff,ffffffff,0a0d10d1,41c1a604,60506080,048750c8,01108247,16068098,40084017,08202341,c140860a,84780001,011a6122
6c00ffff,ffffffff,2a40e011,c1c3824e,1078d0a3,00130860,5010e306,9c383058,63474000,0c101380,31810324,08115005,41af6922
7400ffff,ffffffff,02388954,4482010a,8cb8c1e0,c6830874,6033a041,03180c68,00e6089c,2448a090,01008806,3820a202,42867122
7c00ffff,ffffffff,3c247830,02098400,28885169,8888247c,c8412081,b2362c80,43804212,02040831,05d69a22,04082080,82127922
0400ffff,ffffffff,0e254800,21400080,242191e2,0a100c3c,e11262c0,80000838,03a3c003,0419bea0,aa4b8536,98f81007,10160122
0c00ffff,ffffffff,0a1088d2,aa018314,c858a602,8f891208,487121c2,80247048,81a70516,10004885,20100416,2838a482,08090922
1400ffff,ffffffff,1e686941,c5418e36,30d0c383,ce932738,41808202,a7052841,f0e1c213,00087950,82009a16,8cc81261,81041122
1c00ffff,ffffffff,086910e0,e4a4810e,90110080,4a900e40,19c04281,0c0e0892,10e5501b,4a6d1010,c3c10818,0808b1c5,c0011922
2400ffff,ffffffff,663008d0,2045905a,0c986023,42101400,6040051e,19160428,118682aa,20308861,43c08d35,2181a221,08022122
2c00ffff,ffffffff,44180021,a3498b0c,44781186,01933030,f8f08a47,b91418a0,e1c90f99,043801a0,230a8510,2033a522,630f2922
3400ffff,ffffffff,3c007841,e6091b1e,2068b2a4,cb2a041c,2091e055,05346400,0180ca86,02d95010,80c08638,54880164,8b853122
