TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
1400ffff,ffffffff,001010c1,6380320c,22231140,0e832e08,7890c049,0b040640,c0010d80,127c0045,28821718,04c01046,86051122
1c00ffff,ffffffff,000848a3,8d010a5c,2820c061,0a08001c,81f1e30e,851c0938,31218100,2c380860,a0478208,34097200,92041922
2400ffff,ffffffff,06f401e3,608d0200,5c281421,da0b0004,8182a182,821ed8a8,5081c488,1e902060,24c49654,40515261,c1112122
2c00ffff,ffffffff,061c5a20,a2c38604,8c184024,c60b1648,70060180,8522a028,83a44404,24500cc3,0e498e48,147980a2,07862922
3400ffff,ffffffff,201c20e1,0302070a,404a70e0,02983c0c,c865a1d7,88160400,21e44109,162c00e1,e4948220,786080c5,c2043122
3c00ffff,ffffffff,4a141105,0309993c,f821f181,02970c68,10302844,0e0c7409,70030d80,24504b00,23018c18,400ae0a0,070a3922
4400ffff,ffffffff,1e30b490,2646871e,00034220,05840a45,0864a040,aa4830a1,202fc125,2e506121,a1498806,202b5183,87164122
4c00ffff,ffffffff,565822d2,4504100c,417850eb,0690064c,01a3669e,98283160,33000f06,0a184010,2807051e,48898c90,00064922
5400ffff,ffffffff,0800c855,62c40802,38e88163,8392020c,093123d7,8b020890,7681c105,18507093,e2840922,58e80540,429d5122
5c00ffff,ffffffff,0a4d4840,234ac102,1c0160c3,47150b04,7852450e,01200919,60600626,180401a0,22450008,845125c3,d1095922
6400ffff,ffffffff,1a38c010,610a2910,042917a1,0a0e1c04,a1512ac5,8b02d428,000353a3,26508851,05413002,0418202e,4e016122
6c00ffff,ffffffff,30180071,499f813c,6050b1c7,c62e0e5c,3030a34e,8c1e1c60,61238316,0e203a81,e9f00242,3412a5c0,50376922
7400ffff,ffffffff,5c340834,414a0402,0c0020c6,41ab002a,19c0420b,8e342870,92410227,180068b1,69809010,14419085,80937122
7c00ffff,ffffffff,24054032,0187bb1a,50608406,83040e1c,21734280,005a9800,1221838c,00004003,2c05a604,0068a2e1,09857922
0400ffff,ffffffff,21343850,e5c38212,1d2310c0,018f2e25,42603286,032c58e8,71014189,2c113040,26c18124,142061e5,16860122
0c00ffff,ffffffff,300c5032,4c801d20,00981081,03290a38,102181c6,86464879,3220808d,16a058b0,62009c3c,28706303,c00d0922
1400ffff,ffffffff,00684831,c0062318,4c212140,4124227c,00e0e001,85423019,31e0839d,10485000,4a468234,00401061,44831122
1c00ffff,ffffffff,261c8122,03849920,601310a4,07920c08,30e44290,83020490,00c7cb83,222811a3,c0c08006,54101105,c88c1922
2400ffff,ffffffff,085c28f3,c8980922,241885c1,042918cc,088020c0,82004830,4080409f,1e041073,e04a8412,14201623,828e2122
2c00ffff,ffffffff,12091170,0282090a,8cc84341,c1140a30,2842c00c,a2121818,f0a3c389,269c00b2,a1000f2e,2858f8c0,080d2922
3400ffff,ffffffff,10144131,23cc0304,3c704325,021e1660,38c4801c,9d0008b1,00629900,14040060,c243860e,3480e4c2,03213122
3c00ffff,ffffffff,0e010820,608cb14e,0080d0a1,819e0e38,70936102,0f0a2c08,21a0c403,0a5c1052,6a458c02,ac081142,c7113922
4400ffff,ffffffff,1c002021,0547841a,18b070ac,010c0011,a900a14c,00146c00,a043c40b,10143243,20c21730,70a86043,81034122
4c00ffff,ffffffff,1a8c2040,05470520,30298020,868018d8,38c14206,07440098,2022cf02,30000734,224c03a2,48e861e5,82064922
5400ffff,ffffffff,1c250810,8045ca00,001932a1,03004a14,18a58082,02165040,e2a24583,1208b990,05880000,6c11b0a7,42895122
5c00ffff,ffffffff,043409d2,e0cf0e0c,5c91a1c3,82862818,5061e303,61040618,02450093,00201963,2cc8021a,3870b0a0,00905922
6400ffff,ffffffff,2c3c80f4,edc5821c,406230e0,8b075208,61e16146,8c0e2002,d1e2c687,201818e1,21c59108,489071b1,8b2a6122
6c00ffff,ffffffff,1e11c9e0,a090031a,4830e142,870d1810,0061c5cf,015834c0,20004c13,000061b1,20c4921e,54088760,c4866922
7400ffff,ffffffff,06303ae1,6403912c,00402261,42091250,28402287,000c28e0,a1a30998,32002871,87c13c0e,0232b240,15857122
7c00ffff,ffffffff,06ec5850,c0410520,10ba6203,c2801440,6110c203,061a4c48,00814096,46f00003,22880746,64d0a100,40057922
0400ffff,ffffffff,08442013,8107850a,2c021000,c4890a01,8031e2de,24141813,0043058b,06343393,c9849c32,081873c3,41100122
0c00ffff,ffffffff,0e089190,608c2014,1c30d0e2,03010814,49416783,850a4050,b124c01a,00008243,c1c11126,01a0b060,d3030922
1400ffff,ffffffff,2a281031,a0070636,08885161,019f1408,82ad4542,892a2828,05e00003,0218d001,430b821a,3cd871c2,c5811122
1c00ffff,ffffffff,28083842,075b9a12,445880a7,00103e40,3a4121c6,170e2491,1260c40a,02882101,e1840a08,0d2013a1,c9071922
2400ffff,ffffffff,0e347980,45c40634,04a95023,04930264,10b10386,833a1dda,10a4050f,1e046890,0448080e,2ca810c3,47932122
2c00ffff,ffffffff,243898d0,62c40702,200820e1,058d2060,3110a00b,8a0a0840,e6034401,0a140090,41c08522,04513363,838c2922
3400ffff,ffffffff,0aa88035,21840432,1c180160,02870610,58008188,84380840,90640115,363c1832,a4500106,10b3e121,51863122
3c00ffff,ffffffff,06203050,00420344,2c301120,85890e6c,437204cc,1218593a,11074605,14089010,c6490e06,20491041,83883922
4400ffff,ffffffff,0c0060c7,0a020a1c,b02052c8,431810a8,3440a080,9a0a2410,20244180,245c1041,a2c00b10,04181088,818b4122
4c00ffff,ffffffff,26183066,a3580302,20417164,cb911a1c,8b748712,20060030,80040496,8218e040,80d68704,64901662,450c4922
5400ffff,ffffffff,4488e891,80408c5a,005a3064,03051228,60320085,88043811,30c28397,24048270,c48b8638,00f8e007,88105122
