RX_DATA_0,RX_DATA_1,RX_DATA_2,RX_DATA_3,RX_DATA_4,RX_DATA_5,RX_DATA_6,RX_DATA_7,RX_DATA_8,RX_DATA_9,RX_DATA_10,RX_DATA_11
a0e04303,a3238429,a280ca9c,a2c4c000,a003c807,a4c38a84,a100c782,a068c088,a0c2010f,a4008584,a3211b03,a3040906
a0640596,a0c50090,a0230a9f,a0420680,a402d10c,a0c14101,a0488609,a1268282,a0c2c088,a0abc080,a0214519,a042cc80
a0228289,a101c617,a0c20409,a1428401,a1c3430e,a6c8499f,a1298794,a0669400,a0814315,a1a1c0bc,a2c7c110,a201858c
a4c50494,a1a5c998,a0240399,a0a1c583,a0200485,a0804387,a162cc82,a4e304a8,a104c88d,a0010e0e,a2800913,a6811d02
a1a24995,a0a84187,a2c14504,a08041a0,a34505ad,a1840514,a307148e,a1225081,a0839910,a1030423,a0e7c125,a0a6c695
a2808b02,a060498a,a021818b,a141418a,a0640500,a100cf04,a3701289,a5c14385,a0865791,a4205002,a044ca0d,a2468093
a2210187,a38c44a7,a3864d04,a084dc02,a1610808,a1a2c481,a882c036,a200a898,a041c2b3,a7020714,a0640f03,a0414003
a1400a05,a2294188,a0e24a10,a400c68b,a0450482,a1000809,a2e7cd85,aa80088b,a0a24823,a5e74024,a0ae8a89,a2c4c294
a364c104,a680ca88,a188802a,a160838a,a1e01f97,a1a4428b,a0204823,a1a68217,a2220e2c,a1a1459a,a1604006,a0a0819d
a0008419,a1e68189,a1000103,a509870f,a522010f,a0c08428,a1e00481,a1c0c18d,a0ec8700,a0420d09,a0098892,a02084b0
a0408194,a5a30600,a0a4c300,a424803b,a2c6042e,a2c34601,a240c012,a0604506,a562590b,a1c04c06,a3c74106,a064888d
a5a2c500,a0831087,a2a60c9d,a327c001,a0838193,a1400523,a5e18005,a0270e88,a267d094,a0210481,a221c614,a2a0d02e
a1204084,a0274706,a0e49701,a5e0840f,a121ce11,a4814708,a3064715,a5c17f80,a2614583,a2200104,a0e0c691,a20a4816
a4c2c188,a56ac580,a1685183,a0834880,a7234803,a2804011,a1808102,a0040fa3,a0e1c08b,a2a08e0d,a2010105,a330192e
a101c0a3,a181421f,a084828a,a3a54687,a10a4c01,a0610d09,a0208301,a35141a4,a1a20193,a0602599,a24014ac,a0218701
a0c5811b,a1840011,a1850284,a041c201,a0024f93,a24000b5,a6a20a1a,a542c8a4,a042408b,a0248000,a1008203,a226c202
a3c2c31c,a2249e8f,a200038b,a1264104,a0e08b1e,a400c113,a201cab3,a0220482,a3e0cf82,a020c60e,a0050994,a0650491
a0054a06,a0408280,a5e6c282,a0c00e07,a180058c,a1e4c699,a000d115,a0a3c189,a0804700,a0a10333,a0618194,a0804128
a163c022,a0c7c24b,a0c0c4a6,a2438203,a266c02f,a3004007,a56002ac,a2898c32,a0004383,a20193a1,a0818681,a0c01106
a0ec0906,a0c0018a,a0e0c182,a4c04692,a0e14580,a0804482,a081400e,a020c583,a0a00213,a0220306,a782058f,a0068119
a0a0000a,a080c111,a0c1940b,a02114a1,a1c14a8d,a06607b7,a0604511,a1439680,a0238104,a082840a,a4a20d0b,a2c3012e
a0450310,a025d003,a101839c,a1e88706,a0c40987,a602c01e,a0a8011b,a3004094,a681c41b,a1204393,a4210400,a1a1888b
a062f493,a662c702,a4a00591,a103c399,a0818012,a2854434,a0e9010b,a443698e,a0400a0e,a1c0c48b,a0458483,a181c608
a0604285,a043820c,a0628117,a32c8302,a08502bc,a2404900,a4448902,a1271019,a3818607,a0034106,a4408581,a2420000
a1a5c406,a2c14000,a0880198,a0200217,a0620208,a1e11401,a2454007,a0505015,a1a1c39c,a0e70b18,a242c186,a0a04880
a042c39d,a0c75682,a002c182,a0e2020d,a024cbb7,a5830085,a5a10292,a320480a,a1014282,a0440707,a44c078b,a1040206
a0a1c1d1,a2a8268d,a1210885,a200828e,a1218cb1,a10bc38e,a6a10388,a6c28498,a40c0032,a220011c,a0484c06,a365c60b
a0e1c808,a0434402,a3208108,a24d0105,a2e0818f,a0014015,a0004c0f,a160830b,a0214c06,a1220020,a0c04d02,a0dfc10e
a1e10882,a1a8428a,a0030883,a067c282,a2c44912,a0bb0804,a241c033,a6058888,a10048a3,a3104203,a0c10211,a040488e
a0640303,a1e05610,a080c081,a0cf5581,a1c28989,a3e20088,a0a04397,a102c50a,a1a080a1,a0400390,a1a04582,a741418b
a4238982,a0a5ca02,a440c845,a2875781,a764938c,a2008c89,a0861084,a8e44521,a3c1448f,a0010482,a003880d,a160430f
a3c94200,a260c393,a0c0810c,a1005514,a3a00414,a040c28e,a081c4b0,a1264816,a928402d,a0b20483,a0638d88,a1e3849d
a188c081,a0c28f90,a2208203,a08106b3,a0865182,a2ae900a,a0820b83,a0d8c01a,a011c394,a1858291,a14b46ad,a102c024
a240c082,a023c112,a3e0c190,a1c1011e,a2c84602,a04bcf89,a127070c,a0811203,a1850996,a023ce85,a2008a8d,a3010612
a0898200,a4668b35,a5a4830e,a0068894,a0c0060c,a2e14200,a0c1d884,a1c10904,a0274409,a0210084,a0e54d88,a1000601
a1600b0d,a00b871e,a041808b,a0e24f9c,a384c122,a2c1c496,a0e00386,a0e14804,a0288428,a2c04884,a0ea4b03,a0a0a41b
a2020580,a0c40525,a1a1000a,a0814201,a0c54c9c,a543488a,a0e4d1a5,a961c18a,a1850b06,a0a70280,a2e2db89,a0a14087
a068c899,a045c001,a084cc23,a32a0303,a0689e01,a0854095,a00ec400,a0e2d286,a3e49008,a0c2460f,a1834789,a0e6412b
a1844706,a062c012,a504c507,a06b8392,a321c307,a1e44b17,a4d00480,a0424986,a0a0808f,a0e511a2,a14095a8,a080c482
a1004689,a343461a,a6000511,a0a0c98e,a062461a,a0614103,a1210085,a3440080,a4214307,a2004002,a0814916,a0214087
a04aca89,a40a060e,a4e80f83,a0c08486,a0838308,a3640208,a040098b,a0c5838a,a2890b9a,a7024019,a022478a,a7a0849d
a0c41387,a004c300,a3034003,a0420108,a5204109,a1218100,a2ca468e,a4a0818f,a0228329,a0a3800b,a3004380,a0000813
a0620088,a4c30d0d,a0031883,a2008484,a3ca011c,a0630522,a7c2028e,a0004185,a052018a,a1610106,a18640a0,a0c7428f
a0244b8c,a043c307,a0240407,a1e38987,a429c58e,a02a4703,a1294c92,a161cead,a4a04817,a365d09d,a2c045af,a2824402
a0c2c291,a063831b,a3204a10,a6801a10,a260cb80,a2274c02,a2414c8d,a321d684,a0c44a1e,a0695d88,a0c38987,a0a30085
a0620082,a1e04781,a222c804,a9a2000d,a0609510,a0e59108,a3a58202,a0a1840b,a101c036,a0eac906,a0a75382,a0000587
a141028e,a0000104,a1404705,a061c685,a103c293,a360c90e,a2a0042a,a3460405,a0c00312,a0821329,a160840a,a142c988
a1404109,a1a3c78a,a2604447,a320408a,ae690b0e,a042ce39,a0264383,a0868691,a1a38221,a2030a83,a04e1f00,a026c804
a220c01a,a1c01090,a066c413,a141c70d,a0a64699,a1a38081,a6608788,a1805785,a1c1ce0f,a0800786,a0a3ce8c,a2a1003c
a1c00095,a0e6c480,a2c084a1,a045c106,a0209142,a0004284,a2048110,a14d4083,a1220702,a061c000,a244420a,a3431c85
a0e00d21,a3a01c85,a2000402,a025019d,a6458704,a020d3b5,a0a00f18,a4614b8a,a08b440b,a3c60695,a060c49c,a4414481
a14e021e,a0210292,a0618a90,a0630300,a4260096,a0215283,a0b28a81,a0a00982,a060c203,a082823f,a0204f0d,a1a2c0a7
a1448193,a2805a37,a3c0c81c,a2c1c586,a364010d,a0018e81,a0e40525,a0634c12,a4e14409,a380c692,a541cc1b,a42b4e88
a2428201,a0e3c987,a2420007,a140c30f,a0468910,a0600481,a0824217,a1c54399,a2a2020f,a06a4982,a144018a,a3428516
a0a3c181,a0a5c907,a3601ba7,a1648396,a2841881,a0c10093,a0a98511,a100c981,a382008e,a0e1c307,a1044184,a0c34180
a16c458b,a246409d,a0a1c78f,a2238b01,a2250f26,a1e44008,a0800884,a2410202,a0ac4503,a1078311,a16a0100,a2620100
a4620a03,a141900c,a0664081,a1080107,a5464501,a120810d,a000c411,a2e093ab,a080032b,a262cc00,a0070018,a6c00485
a2004c8b,a2f6c180,a0434b8d,a220019b,a2ef488d,a120c08b,a483d600,a0224004,a0400601,a0010d00,a1a40808,a040c740
a005018b,a0230d80,a1248491,a1cdd205,a4c0c78b,a2ce4420,a5809600,a022828d,a0e8c097,a2e40183,a7008483,a203c884
a0820810,a683420e,a0808093,a2a0012b,a0a28983,a168860b,a0a18295,a2a00797,a084469d,a649c10b,a1638103,a1c3099b
a0a34b02,a001148d,a0445801,a3418587,a0c24003,a2448332,aa60438b,a0e40701,a1a2c280,a0438e24,a000ce80,a0410200
a0a3474b,a1210400,a021cb91,a3a6c689,a064db07,a0808203,a0e08219,a3039e02,a1028904,a300c080,a0400182,a0e4c117
a0004b21,a1a48a97,a4818515,a140408a,a9ab4916,a2aa5324,a1e1c000,a1e09885,a1224210,a00e0101,a1644004,a081c285
