TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
6c00ffff,ffffffff,3c942002,60c3930c,0810c100,55143a00,414040c2,8e081c4b,01264816,928402d0,b2048306,38d881e3,849d6922
7400ffff,ffffffff,188c0810,c28f9022,08203081,06b30865,1822ae90,0a0820b8,30d8c01a,011c3941,85829114,b46ad102,c0247122
7c00ffff,ffffffff,240c0820,23c1123e,0c1901c1,011e2c84,60204bcf,89127070,c0811203,18509960,23ce8520,08a8d301,06127922
0400ffff,ffffffff,08982004,668b355a,4830e006,88940c00,60c2e142,000c1d88,41c10904,02744090,2100840e,54d88100,06010122
0c00ffff,ffffffff,1600b0d0,0b871e04,1808b0e2,4f9c384c,1222c1c4,960e0038,60e14804,02884282,c048840e,a4b030a0,a41b0922
1400ffff,ffffffff,20205800,c405251a,1000a081,42010c54,c9c54348,8a0e4d1a,5961c18a,1850b060,a702802e,2db890a1,40871122
1c00ffff,ffffffff,068c8990,45c00108,4cc2332a,03030689,e0108540,9500ec40,00e2d286,3e490080,c2460f18,347890e6,412b1922
2400ffff,ffffffff,18447060,62c01250,4c50706b,8392321c,3071e44b,174d0048,00424986,0a0808f0,e511a214,095a8080,c4822122
2c00ffff,ffffffff,10046893,43461a60,005110a0,c98e0624,61a06141,03121008,53440080,42143072,00400208,14916021,40872922
3400ffff,ffffffff,04aca894,0a060e4e,80f830c0,84860838,30836402,08040098,b0c5838a,2890b9a7,02401902,2478a7a0,849d3122
3c00ffff,ffffffff,0c413870,04c30030,34003042,01085204,10912181,002ca468,e4a0818f,02283290,a3800b30,04380000,08133922
4400ffff,ffffffff,06200884,c30d0d00,31883200,84843ca0,11c06305,227c2028,e0004185,052018a1,61010618,640a00c7,428f4122
4c00ffff,ffffffff,0244b8c0,43c30702,404071e3,8987429c,58e02a47,031294c9,2161cead,4a048173,65d09d2c,045af282,44024922
5400ffff,ffffffff,0c2c2910,63831b32,04a10680,1a10260c,b802274c,022414c8,d321d684,0c44a1e0,695d880c,389870a3,00855122
5c00ffff,ffffffff,06200821,e0478122,2c8049a2,000d0609,5100e591,083a5820,20a1840b,101c0360,eac9060a,75382000,05875922
6400ffff,ffffffff,141028e0,00010414,04705061,c685103c,293360c9,0e2a0042,a3460405,0c003120,82132916,0840a142,c9886122
6c00ffff,ffffffff,14041091,a3c78a26,04447320,408ae690,b0e042ce,39026438,30868691,1a382212,030a8304,e1f00026,c8046922
7400ffff,ffffffff,220c01a1,c0109006,6c413141,c70d0a64,6991a380,81660878,81805785,1c1ce0f0,8007860a,3ce8c2a1,003c7122
7c00ffff,ffffffff,1c000950,e6c4802c,084a1045,c1060209,14200042,84204811,014d4083,12207020,61c00024,4420a343,1c857922
0400ffff,ffffffff,0e00d213,a01c8520,00402025,019d6458,704020d3,b50a00f1,84614b8a,08b440b3,c6069506,0c49c441,44810122
0c00ffff,ffffffff,14e021e0,21029206,18a90063,03004260,09602152,830b28a8,10a00982,060c2030,82823f02,04f0d1a2,c0a70922
1400ffff,ffffffff,14481932,805a373c,0c81c2c1,c5863640,10d0018e,810e4052,50634c12,4e144093,80c69254,1cc1b42b,4e881122
1c00ffff,ffffffff,24282010,e3c98724,20007140,c30f0468,91006004,81082421,71c54399,2a2020f0,6a498214,4018a342,85161922
2400ffff,ffffffff,0a3c1810,a5c90736,01ba7164,83962841,8810c100,930a9851,1100c981,382008e0,e1c30710,441840c3,41802122
2c00ffff,ffffffff,16c458b2,46409d0a,1c78f223,8b012250,f261e440,08080088,42410202,0ac45031,07831116,a0100262,01002922
3400ffff,ffffffff,4620a031,41900c06,64081108,01075464,50112081,0d000c41,12e093ab,080032b2,62cc0000,700186c0,04853122
3c00ffff,ffffffff,2004c8b2,f6c18004,34b8d220,019b2ef4,88d120c0,8b483d60,00224004,04006010,010d001a,40808040,c7403922
4400ffff,ffffffff,005018b0,230d8012,484911cd,d2054c0c,78b2ce44,20580960,0022828d,0e8c0972,e4018370,08483203,c8844122
4c00ffff,ffffffff,08208106,83420e08,080932a0,012b0a28,98316886,0b0a1829,52a00797,084469d6,49c10b16,381031c3,099b4922
5400ffff,ffffffff,0a34b020,01148d04,45801341,85870c24,00324483,32a60438,b0e40701,1a2c2800,438e2400,0ce80041,02005122
5c00ffff,ffffffff,0a3474b1,21040002,1cb913a6,c689064d,b0708082,030e0821,93039e02,10289043,00c08004,001820e4,c1175922
6400ffff,ffffffff,0004b211,a48a9748,18515140,408a9ab4,9162aa53,241e1c00,01e09885,12242100,0e010116,44004081,c2856122
6c00ffff,ffffffff,2c515b50,a6c50750,09b85487,0304204c,f272a141,1b103452,d384ca82,0aac8821,a30ab634,093876c1,85856922
7400ffff,ffffffff,340e6841,220a8754,144a706d,80060404,38f04a8e,08168428,33e48386,021cb80d,86c00e02,5848e0c1,488f7122
7c00ffff,ffffffff,160cb9a2,a1c60218,28198121,87852654,39308207,92164c90,52824499,0a0460a0,00400110,186003c2,41937922
0400ffff,ffffffff,22404082,2446ab1e,84611ae3,018d18b9,0080a209,15160828,e440c71a,1c340041,42068128,7c5840e2,44390122
0c00ffff,ffffffff,1645a0f0,81420308,09084046,1d030414,58348206,8a06041a,7087e315,86000a13,60008c2a,44b97042,8f8a0922
1400ffff,ffffffff,0a0c2832,22c38054,20112160,40080204,0070e106,0f220cb8,40004483,10183202,404c151e,041030e5,89831122
1c00ffff,ffffffff,0a04d922,40538c00,04517183,c0892a04,e853c542,49189048,22a20300,222c1857,8097109c,341070a1,40071922
2400ffff,ffffffff,001c1cc0,27c38906,14781885,83860c34,30a64380,8c061c20,12a2011b,38041831,20800104,0c004102,0a832122
2c00ffff,ffffffff,26447872,02c3810a,10081080,50100e18,5881a243,822228a8,1242c496,08092871,a1928b4a,5c68a340,40812922
3400ffff,ffffffff,02040832,cb81003e,0d98d083,80001c04,18d32703,073e1460,c020c405,02182811,0340041e,0c001040,08083122
3c00ffff,ffffffff,2a209883,40010c1a,184020a2,488c1840,9104c482,88048948,d4228208,08405834,a54e0112,68e8e1e0,071b3922
4400ffff,ffffffff,44186910,e6828328,0c5820c1,4790140c,e022a0c4,932c0840,e021c505,0e004985,4f868a1c,18586141,40914122
4c00ffff,ffffffff,2a1000f1,23c48f06,0cc88604,8b861629,b090a086,8f423830,02114c0d,000c1ae0,a4c79f0a,0c40f7c4,47104922
5400ffff,ffffffff,32311191,e1828902,20591068,451c2042,28304344,053618a8,a5014205,3a0c20d1,44050522,152810a0,83835122
5c00ffff,ffffffff,0a540061,218f0b02,2c0021c6,c1850674,62b0a201,90322458,30644bb1,1a943130,6043023e,44104041,4c825922
6400ffff,ffffffff,26042190,200e093e,90213083,88091054,d0906000,94320c69,4445c40d,4410c810,23908b30,0c30bac0,c0ba6122
6c00ffff,ffffffff,08e0e980,03c4925e,10b19021,8013163c,21108201,11063848,210a4405,6ab4b871,000f9454,3420c192,00056922
7400ffff,ffffffff,200d4000,01c3912a,441202c0,0405142c,08b02202,0f34a438,55f0c2a0,1600c0d0,410b8a32,04480063,06807122
7c00ffff,ffffffff,18743142,6503851e,41406060,8b12083c,40e0a142,ab3e2870,810b4396,02586460,1545160a,14400244,4c087922
0400ffff,ffffffff,0a189031,41898544,3500732e,418e3c18,52a1a500,8d2008f8,0023040e,2a900080,61519010,2cf141a1,80860122
0c00ffff,ffffffff,021431f0,010e0d60,18024021,c2812604,801069c1,0d080d48,f028d08f,2aa419c1,02820110,20606641,03800922
1400ffff,ffffffff,32005041,80cf1334,0491b023,d5802044,18012053,8b0c005a,72c1c584,4020d109,e303241e,0c2212c9,40971122
1c00ffff,ffffffff,180d21b2,0184841e,6811e0a2,05801014,201062cf,02143010,51c14715,38247960,a3d0810a,742b3240,46c91922
2400ffff,ffffffff,1e107223,a7c00436,691862c0,ca850405,68704184,902654c9,b0e44d99,0019a060,84022706,683052a8,03342122
2c00ffff,ffffffff,0820e961,80818f6e,1c284341,45840ea8,82914082,a1160ce1,b7a586a0,023c6840,c5c21c06,080020e2,579e2922
3400ffff,ffffffff,1e042800,8054011c,1018a181,49121c00,5b60a342,050c2000,42438885,1c158a67,4244070a,a0002041,072b3122
3c00ffff,ffffffff,1e74d910,0a428902,7c406140,0219202d,5060a2c1,a8142438,823ac50d,0c0d8053,0293a704,64509381,5d123922
4400ffff,ffffffff,3a208160,2083042a,0048c140,8000122c,bad0a3c4,0b4a1d33,8044c285,04441052,21468568,1c102060,c5114122
4c00ffff,ffffffff,4a39f802,a187151e,5cc016e1,878f24d4,02d2eb83,86003048,31c08313,203020e1,a3040c00,95819143,c0144922
5400ffff,ffffffff,400c68b1,4ad2140c,80603261,020e5c44,e8704082,84201821,738b8888,0c189880,b0078d1c,4530b0c1,c4825122
5c00ffff,ffffffff,4c341020,60c93416,fc017302,030b1200,7845c30d,9c3a1808,80850e00,02a08857,0100093e,c0005284,82835922
6400ffff,ffffffff,1aa40010,e11a8b08,00207063,0285384c,30828107,10102c19,5149c58a,0e1c20a0,01818452,381810e6,cd1f6122
6c00ffff,ffffffff,0ae41001,a008072a,40b091c0,41051205,7000e085,8d1a0869,32404581,060c93c0,e701810d,5030a4e5,c79b6922
7400ffff,ffffffff,0408a010,05112c10,10811841,d8040a2d,e070e64c,042018a0,0200c685,04204030,e4c60120,29201040,00807122
7c00ffff,ffffffff,021cb1c2,20c28406,9c505040,428f1e10,30b1c0c7,00241888,15220016,06242810,4001913b,092120c0,c3017922
0400ffff,ffffffff,16601881,480a8314,00402045,050e0208,50910081,02942c70,80e2c387,041850d0,01409d40,20c05242,c8820122
0c00ffff,ffffffff,161c04d0,e3108b02,6039a5c1,480e000c,5aa480c0,10362d10,23a0c289,04cc6864,204a010a,4c390040,84a50922
